,0
0,1859
1,479
2,1986
3,264
4,1269
5,509
6,2237
7,2055
8,2294
9,300
10,433
11,2038
12,312
13,1718
14,1548
15,2097
16,2497
17,1896
18,2492
19,453
20,1518
21,337
22,372
23,2078
24,449
25,1315
26,733
27,1123
28,981
29,2388
30,116
31,1268
32,1972
33,2716
34,1998
35,2012
36,1462
37,2295
38,1875
39,2419
40,2484
41,2385
42,719
43,1498
44,333
45,1531
46,567
47,1779
48,63
49,1717
50,1503
51,52
52,2183
53,1030
54,1713
55,2704
56,259
57,1646
58,1920
59,2222
60,2365
61,1822
62,1979
63,1215
64,864
65,271
66,534
67,298
68,2336
69,1438
70,2075
71,2080
72,1487
73,2458
74,1205
75,1549
76,1207
77,2381
78,677
79,1891
80,784
81,614
82,1022
83,74
84,1626
85,2570
86,2026
87,1450
88,1176
89,2317
90,914
91,1995
92,2102
93,188
94,1174
95,2621
96,1738
97,552
98,69
99,1877
100,841
101,1823
102,196
103,33
104,2248
105,2053
106,408
107,2625
108,768
109,1393
110,2344
111,2689
112,669
113,2475
114,743
115,2374
116,1033
117,2005
118,1260
119,489
120,1899
121,520
122,2190
123,2058
124,1259
125,499
126,1751
127,1237
128,2008
129,1983
130,1880
131,1314
132,828
133,2698
134,1001
135,1369
136,2001
137,112
138,2166
139,88
140,1294
141,2141
142,935
143,2130
144,1836
145,2408
146,2695
147,1590
148,2822
149,1274
150,2330
151,2502
152,964
153,1426
154,1940
155,398
156,2410
157,200
158,506
159,100
160,1444
161,1466
162,328
163,767
164,2529
165,1659
166,20
167,2182
168,277
169,946
170,352
171,771
172,313
173,2175
174,2242
175,2634
176,1618
177,128
178,1206
179,2046
180,2593
181,2663
182,1755
183,1879
184,2710
185,2028
186,2723
187,255
188,1538
189,229
190,2387
191,550
192,230
193,2803
194,93
195,704
196,2259
197,2650
198,1953
199,218
200,2599
201,1841
202,903
203,324
204,1780
205,2144
206,212
207,2308
208,1682
209,963
210,1476
211,2558
212,1954
213,2187
214,1723
215,1709
216,837
217,862
218,151
219,2546
220,647
221,1743
222,1261
223,280
224,350
225,1414
226,2386
227,992
228,1190
229,2108
230,91
231,1760
232,1058
233,1463
234,24
235,2811
236,689
237,2438
238,2636
239,129
240,2711
241,429
242,2037
243,1489
244,2338
245,989
246,1961
247,437
248,2195
249,390
250,644
251,1458
252,445
253,952
254,457
255,533
256,2683
257,1811
258,1878
259,895
260,409
261,2324
262,347
263,1003
264,2013
265,2627
266,1134
267,1427
268,2363
269,1744
270,2396
271,1160
272,23
273,2709
274,926
275,1439
276,1834
277,1739
278,2707
279,515
280,1099
281,305
282,737
283,2579
284,930
285,805
286,1484
287,1947
288,1443
289,2181
290,287
291,1949
292,1522
293,1452
294,1403
295,2482
296,2641
297,2194
298,978
299,48
300,688
301,82
302,2662
303,948
304,1727
305,2383
306,1749
307,1305
308,662
309,223
310,2401
311,1543
312,927
313,1391
314,2282
315,2791
316,249
317,885
318,594
319,2214
320,2225
321,2721
322,2639
323,1339
324,902
325,1081
326,806
327,2724
328,2322
329,919
330,2059
331,2507
332,373
333,811
334,813
335,50
336,495
337,2608
338,2542
339,434
340,395
341,1298
342,732
343,2279
344,1460
345,1163
346,2112
347,2212
348,1473
349,414
350,451
351,2145
352,1399
353,443
354,575
355,1485
356,1534
357,2062
358,421
359,1966
360,2170
361,331
362,707
363,658
364,236
365,1838
366,1552
367,1935
368,2368
369,2136
370,270
371,1018
372,1569
373,2192
374,1622
375,322
376,2091
377,411
378,1943
379,2299
380,136
381,1583
382,1249
383,1985
384,1561
385,1793
386,2309
387,2343
388,1978
389,1725
390,1825
391,1264
392,944
393,1860
394,201
395,2301
396,1420
397,1856
398,2796
399,1657
400,881
401,725
402,1180
403,949
404,138
405,2483
406,775
407,2559
408,670
409,1984
410,2051
411,1813
412,2455
413,315
414,2633
415,2512
416,1011
417,1819
418,1337
419,4
420,1208
421,1892
422,590
423,1327
424,2646
425,1155
426,1854
427,1297
428,917
429,1303
430,119
431,2074
432,1550
433,2246
434,2447
435,988
436,2219
437,1582
438,1447
439,898
440,1609
441,2274
442,907
443,2341
444,2357
445,1330
446,1769
447,769
448,2435
449,724
450,1855
451,1784
452,1853
453,1675
454,1876
455,1387
456,1911
457,291
458,1849
459,452
460,2040
461,2188
462,2006
463,2545
464,2113
465,1383
466,1345
467,2511
468,565
469,1901
470,2129
471,66
472,228
473,366
474,2280
475,2000
476,1170
477,889
478,1897
479,237
480,1220
481,1407
482,2538
483,1486
484,1188
485,1405
486,680
487,535
488,124
489,1964
490,2359
491,2223
492,2606
493,1595
494,2790
495,1490
496,2267
497,2598
498,2196
499,2553
500,488
501,1903
502,2452
503,1348
504,2436
505,497
506,571
507,1153
508,1951
509,1904
510,1864
511,1352
512,524
513,623
514,285
515,2127
516,1666
517,578
518,2333
